"spect3" "spect5" "spect6"
"chr1_937056" 5 8 10
"chr1_940067" 11 14 15
"chr1_942856" 6 9 8
"chr1_944831" 1 1 2
"chr1_948210" 2 3 6
"chr1_952052" 2 3 4
"chr1_954770" 13 18 17
"chr1_963763" 6 8 10
"chr1_967279" 3 4 4
"chr1_968976" 3 5 3
"chr1_971671" 4 5 5
"chr1_974649" 37 58 56
"chr1_981050" 3 4 3
"chr1_990863" 19 27 23
"chr1_993370" 15 27 29
"chr1_996372" 49 60 65
"chr1_1001032" 41 48 50
"chr1_1002726" 48 55 57
"chr1_1005830" 13 22 24
"chr1_1014564" 1 2 3
"chr1_1020318" 5 9 12
"chr1_1022683" 11 15 15
"chr1_1025141" 1 1 1
"chr1_1032092" 18 34 38
"chr1_1039553" 1 1 1
"chr1_1042014" 2 4 8
"chr1_1044748" 25 30 30
"chr1_1049536" 2 2 2
"chr1_1053249" 5 6 6
"chr1_1058065" 1 1 2
"chr1_1063225" 1 1 2
"chr1_1075736" 4 5 8
"chr1_1099655" 1 1 1
"chr1_1102349" 1 1 2
"chr1_1115386" 3 4 4
"chr1_1131225" 2 2 4
"chr1_1134607" 2 3 4
"chr1_1139055" 1 1 2
"chr1_1160638" 2 3 3
"chr1_1215999" 2 3 7
"chr1_1287123" 11 12 12
"chr1_1289533" 6 8 7
"chr1_1292548" 2 3 3
"chr1_1301502" 5 6 7
"chr1_1330151" 2 3 2
"chr1_1347419" 1 1 1
"chr1_1360053" 5 6 6
"chr1_1373356" 27 55 50
"chr1_1375429" 26 32 33
"chr1_1406968" 2 2 2
"chr1_1415500" 27 32 34
"chr1_1427443" 44 53 54
"chr1_1429427" 43 57 62
"chr1_1431107" 5 8 8
"chr1_1433421" 1 2 3
"chr1_1462912" 9 15 15
"chr1_1467440" 2 4 5
"chr1_1494314" 8 11 12
"chr1_1518602" 1 1 1
"chr1_1521043" 4 8 12
"chr1_1525953" 1 1 1
"chr1_1532194" 4 5 4
"chr1_1534733" 2 3 3
"chr1_1540383" 7 13 12
"chr1_1558605" 7 10 10
"chr1_1559999" 11 13 13
"chr1_1576476" 1 1 2
"chr1_1579059" 7 9 17
"chr1_1580692" 3 4 3
"chr1_1582483" 12 13 12
"chr1_1586241" 2 3 4
"chr1_1609700" 1 1 1
"chr1_1613513" 22 29 26
"chr1_1619234" 35 48 52
"chr1_1625553" 2 3 2
"chr1_1645170" 1 1 2
"chr1_1648985" 1 1 1
"chr1_1651342" 1 1 1
"chr1_1654647" 10 13 15
"chr1_1656285" 22 31 27
"chr1_1667190" 1 1 1
"chr1_1675566" 32 38 37
"chr1_1689723" 3 4 5
"chr1_1695186" 1 2 2
"chr1_1698354" 34 40 39
"chr1_1701303" 36 47 45
"chr1_1708263" 1 2 4
"chr1_1714172" 4 6 10
"chr1_1715346" 24 31 32
"chr1_1716641" 15 22 18
"chr1_1720134" 11 18 22
"chr1_1728251" 22 30 31
"chr1_1730363" 1 2 1
"chr1_1745840" 14 20 21
"chr1_1784825" 63 70 66
"chr1_1785872" 8 10 9
"chr1_1787031" 17 19 23
"chr1_1789814" 21 23 22
"chr1_1805277" 2 4 5
"chr1_1810853" 41 52 52
"chr1_1813729" 25 29 28
"chr1_1817103" 26 33 31
"chr1_1820827" 37 66 61
"chr1_1824359" 20 34 35
"chr1_1827033" 1 1 2
"chr1_1830320" 35 40 37
"chr1_1848665" 5 7 5
"chr1_1851346" 45 53 48
"chr1_1854199" 1 2 4
"chr1_1856402" 4 7 4
"chr1_1863785" 1 2 5
"chr1_1868038" 3 4 3
"chr1_1869452" 7 11 19
"chr1_1871621" 5 8 7
"chr1_1876834" 4 6 5
"chr1_1878368" 54 72 66
"chr1_1883595" 1 1 1
"chr1_1901081" 6 9 12
"chr1_1903042" 4 7 8
"chr1_1952475" 53 69 73
"chr1_1958650" 2 3 2
"chr1_1960822" 21 27 31
"chr1_1973121" 3 5 6
"chr1_1974629" 4 6 7
"chr1_1977544" 21 37 33
"chr1_1982100" 1 1 1
"chr1_1990076" 7 8 9
"chr1_1991398" 11 14 14
"chr1_1996621" 6 10 12
"chr1_2001455" 3 6 8
"chr1_2005201" 2 3 2
"chr1_2009111" 2 3 6
"chr1_2012246" 8 10 10
"chr1_2014018" 3 4 4
"chr1_2016618" 3 4 4
"chr1_2018511" 1 1 1
"chr1_2022120" 2 3 4
"chr1_2041996" 7 11 10
"chr1_2045789" 2 3 3
"chr1_2048816" 16 20 19
"chr1_2051026" 43 61 59
"chr1_2054206" 22 38 44
"chr1_2056423" 1 1 1
"chr1_2058232" 43 56 51
"chr1_2059997" 2 3 4
"chr1_2073829" 2 3 5
"chr1_2081048" 1 1 1
"chr1_2082631" 37 68 64
"chr1_2084282" 56 73 72
"chr1_2087249" 7 13 8
"chr1_2090142" 13 16 18
"chr1_2094191" 18 20 22
"chr1_2097529" 10 16 24
"chr1_2107999" 1 1 1
"chr1_2110875" 8 10 8
"chr1_2113792" 3 3 3
"chr1_2117250" 5 9 15
"chr1_2120945" 24 27 25
"chr1_2127242" 14 21 23
"chr1_2185640" 10 12 12
"chr1_2192539" 35 57 50
"chr1_2194953" 4 5 4
"chr1_2196845" 16 24 19
"chr1_2268127" 1 2 2
"chr1_2270913" 15 22 21
"chr1_2279843" 2 3 3
"chr1_2281395" 1 2 5
"chr1_2283812" 2 3 2
"chr1_2285213" 6 8 7
"chr1_2288818" 8 16 18
"chr1_2291294" 26 30 31
"chr1_2294001" 35 44 45
"chr1_2295605" 7 10 13
"chr1_2311741" 16 27 33
"chr1_2316710" 1 2 1
"chr1_2321196" 3 5 10
"chr1_2325139" 8 16 15
"chr1_2347639" 1 2 2
"chr1_2354473" 3 5 6
"chr1_2356268" 13 21 23
"chr1_2365459" 41 63 70
"chr1_2398065" 1 2 5
"chr1_2401832" 5 7 5
"chr1_2406634" 1 2 3
"chr1_2408886" 2 3 4
"chr1_2471294" 11 21 15
"chr1_2490607" 5 9 8
"chr1_2515059" 12 22 24
"chr1_2545237" 8 14 14
"chr1_2564229" 2 3 3
"chr1_2626058" 1 2 2
"chr1_2636837" 4 8 7
"chr1_2688005" 26 48 51
"chr1_2696047" 42 55 52
"chr1_2698415" 6 10 12
"chr1_2739151" 2 4 2
"chr1_2763093" 1 1 2
"chr1_2765070" 10 16 15
"chr1_2768614" 10 15 18
"chr1_2775920" 11 13 12
"chr1_2779252" 19 23 24
"chr1_2782567" 1 2 2
"chr1_2784696" 12 20 26
"chr1_2787010" 3 5 8
"chr1_2789527" 50 70 65
"chr1_2792135" 3 6 5
"chr1_2793918" 9 11 16
"chr1_2795911" 1 1 1
"chr1_2797720" 12 18 17
"chr1_2804564" 6 9 7
"chr1_2808821" 23 38 37
"chr1_2827802" 1 1 1
"chr1_2834975" 13 20 20
"chr1_2837010" 17 30 38
"chr1_2839154" 19 31 36
"chr1_2842064" 6 10 13
"chr1_2847188" 1 2 3
"chr1_2863716" 5 10 11
"chr1_2866074" 2 2 2
"chr1_2886292" 4 7 9
"chr1_2888729" 37 61 70
"chr1_2889802" 1 2 1
"chr1_2891202" 1 2 1
"chr1_2892432" 3 4 6
"chr1_2894282" 5 6 6
"chr1_2895044" 7 9 11
"chr1_2895707" 1 1 4
"chr1_2896294" 1 1 2
"chr1_2896902" 1 2 5
"chr1_2897765" 6 9 7
"chr1_2898557" 1 2 3
"chr1_2919477" 3 4 4
"chr1_2920270" 7 10 11
"chr1_2921166" 7 9 9
"chr1_2922083" 2 3 4
"chr1_2922891" 1 1 1
"chr1_2923684" 12 14 14
"chr1_2927278" 4 6 9
"chr1_2928236" 10 13 13
"chr1_2930689" 14 20 19
"chr1_2931795" 3 4 3
"chr1_2939185" 2 3 4
"chr1_2947801" 2 3 2
"chr1_2950094" 3 5 7
"chr1_2952270" 15 25 30
"chr1_3012696" 1 2 2
"chr1_3097038" 5 6 7
"chr1_3109712" 2 3 4
"chr1_3123146" 2 3 4
"chr1_3124844" 4 8 6
"chr1_3127616" 4 7 5
"chr1_3131649" 3 6 10
"chr1_3143465" 2 4 9
"chr1_3175284" 2 4 2
"chr1_3203474" 1 2 2
"chr1_3205730" 1 2 1
"chr1_3211869" 25 50 56
"chr1_3215101" 4 6 8
"chr1_3258045" 12 22 17
"chr1_3297108" 12 15 16
"chr1_3357117" 1 2 4
"chr1_3359346" 5 7 10
"chr1_3361068" 4 6 4
"chr1_3365314" 4 7 12
"chr1_3418230" 1 2 2
"chr1_3423641" 25 45 46
"chr1_3429419" 3 3 5
"chr1_3434897" 8 9 10
"chr1_3440657" 2 3 5
"chr1_3467826" 1 2 2
"chr1_3476088" 6 10 12
"chr1_3480125" 3 6 4
"chr1_3489865" 4 5 5
"chr1_3515124" 1 1 1
"chr1_3524200" 25 54 55
"chr1_3542604" 6 8 9
"chr1_3544957" 1 2 2
"chr1_3549037" 2 4 5
"chr1_3555149" 6 7 10
"chr1_3558666" 2 4 3
"chr1_3560777" 2 3 2
"chr1_3562019" 3 4 5
"chr1_3563511" 1 1 3
"chr1_3565125" 47 59 53
"chr1_3566623" 3 5 5
"chr1_3568125" 2 3 5
"chr1_3569414" 15 20 24
"chr1_3599557" 2 3 3
"chr1_3619736" 1 1 1
"chr1_3622767" 12 16 13
"chr1_3624139" 13 19 19
"chr1_3626041" 40 57 64
"chr1_3627840" 1 1 2
"chr1_3629751" 2 3 3
"chr1_3651740" 2 3 4
"chr1_3653351" 2 2 3
"chr1_3686893" 1 2 6
"chr1_3691344" 2 3 4
"chr1_3693875" 13 22 23
"chr1_3705489" 13 22 19
"chr1_3751843" 2 3 2
"chr1_3754380" 1 1 1
"chr1_3769802" 1 1 1
"chr1_3772997" 2 2 2
"chr1_3809541" 16 32 29
"chr1_3866710" 47 60 63
"chr1_3870290" 5 7 9
"chr1_3884642" 2 3 2
"chr1_3888216" 45 59 61
"chr1_3915780" 1 1 1
"chr1_3917648" 17 21 25
"chr1_3920001" 2 2 2
"chr1_3923265" 15 30 26
"chr1_3925732" 1 2 1
"chr1_4101516" 4 7 8
"chr1_4109426" 2 3 2
"chr1_4307783" 4 6 5
"chr1_4309631" 2 2 3
"chr1_4312040" 9 13 10
"chr1_4314657" 3 4 4
"chr1_4321354" 2 3 2
"chr1_4330895" 36 47 44
"chr1_4347743" 28 64 63
"chr1_4351672" 7 14 12
"chr1_4354001" 2 3 3
"chr1_4361174" 35 40 41
"chr1_4381519" 4 5 6
"chr1_4400741" 3 5 8
"chr1_4404495" 9 19 24
"chr1_4406089" 25 40 36
"chr1_4410099" 1 2 2
"chr1_4415311" 1 1 1
"chr1_4417453" 27 36 37
"chr1_4435788" 19 33 33
"chr1_4442590" 3 3 7
"chr1_4447390" 19 26 31
"chr1_4449283" 9 13 10
"chr1_4461558" 1 1 1
"chr1_4481875" 9 11 10
"chr1_4484760" 41 50 53
"chr1_4486265" 9 10 9
"chr1_4487569" 2 3 4
"chr1_4489452" 4 5 7
"chr1_4490689" 11 12 11
"chr1_4495355" 8 10 11
"chr1_4499808" 5 8 6
"chr1_4501701" 9 13 13
"chr1_4506232" 4 5 4
"chr1_4509051" 1 1 1
"chr1_4526356" 1 2 1
"chr1_4527833" 5 7 9
"chr1_4529604" 45 64 64
"chr1_4531320" 12 14 15
"chr1_4533856" 1 1 1
"chr1_4536315" 14 25 24
"chr1_4539747" 1 2 1
"chr1_4544402" 52 63 65
"chr1_4547625" 3 4 3
"chr1_4551544" 2 2 2
"chr1_4566692" 38 47 46
"chr1_4580299" 2 4 7
"chr1_4586513" 13 16 16
"chr1_4609245" 1 1 3
"chr1_4664838" 13 24 25
"chr1_4672536" 2 3 3
"chr1_4678456" 48 59 62
"chr1_4686470" 22 33 28
"chr1_4719769" 2 3 5
"chr1_4741193" 25 44 41
"chr1_4961984" 5 9 5
"chr1_4994973" 3 5 3
"chr1_5167886" 5 11 13
"chr1_5171832" 49 54 51
"chr1_5175872" 2 2 2
"chr1_5179314" 6 9 10
"chr1_5181996" 8 10 10
"chr1_5206359" 1 2 1
"chr1_5218337" 1 1 2
"chr1_5223245" 20 34 36
"chr1_5224980" 54 61 60
"chr1_5228090" 1 1 3
"chr1_5235489" 24 32 31
"chr1_5244296" 35 70 68
"chr1_5247120" 1 1 1
"chr1_5249093" 1 1 1
"chr1_5280442" 34 44 47
"chr1_5285109" 10 15 14
"chr1_5382810" 10 14 14
"chr1_5384788" 14 16 16
"chr1_5388274" 2 3 2
"chr1_5409957" 6 8 7
"chr1_5412156" 1 1 2
"chr1_5413421" 5 6 9
"chr1_5414914" 2 3 6
"chr1_5416195" 2 4 5
"chr1_5427677" 4 7 9
"chr1_5429994" 3 6 6
"chr1_5435065" 4 5 5
"chr1_5437577" 4 7 9
"chr1_5455392" 2 2 2
"chr1_5457704" 1 2 5
"chr1_5460002" 2 3 2
"chr1_5462591" 1 1 6
"chr1_5468683" 37 59 59
"chr1_5475491" 10 18 21
"chr1_5478498" 7 12 9
"chr1_5481166" 2 2 3
"chr1_5485106" 61 72 68
"chr1_5488406" 3 3 5
"chr1_5491316" 4 7 8
"chr1_5492855" 1 2 7
"chr1_5494483" 46 66 67
"chr1_5496104" 14 20 18
"chr1_5498644" 5 7 8
"chr1_5500675" 2 2 2
"chr1_5502875" 1 2 2
"chr1_5505206" 3 4 5
"chr1_5513293" 1 1 1
"chr1_5514630" 4 5 5
"chr1_5515864" 5 6 6
"chr1_5517332" 2 2 2
"chr1_5519505" 3 5 6
"chr1_5521949" 32 47 42
"chr1_5523436" 6 9 9
"chr1_5524974" 7 13 13
"chr1_5526775" 19 22 23
"chr1_5530829" 14 20 20
"chr1_5533383" 1 1 3
"chr1_5535088" 33 38 42
"chr1_5538539" 7 12 19
"chr1_5541506" 13 15 17
"chr1_5543927" 3 4 10
"chr1_5546591" 3 4 3
"chr1_5579696" 3 6 5
"chr1_5630022" 4 7 6
"chr1_5644698" 5 6 6
"chr1_5645820" 4 7 7
"chr1_5646976" 15 27 30
"chr1_5661551" 3 5 6
"chr1_5743638" 20 32 32
"chr1_5750079" 1 1 1
"chr1_5787421" 1 2 2
"chr1_5807202" 3 4 3
"chr1_5808747" 3 5 9
"chr1_5814276" 19 26 24
"chr1_5828241" 1 1 1
"chr1_5832980" 1 1 1
"chr1_5910402" 10 13 11
"chr1_5913062" 1 1 2
"chr1_5916604" 2 3 2
"chr1_5918332" 5 6 5
"chr1_5922014" 8 9 8
"chr1_5926972" 26 34 33
"chr1_5949341" 1 2 2
"chr1_5981607" 1 1 1
"chr1_5986517" 1 1 2
"chr1_6008999" 13 15 16
"chr1_6011316" 5 6 6
"chr1_6014255" 28 34 36
"chr1_6016298" 2 2 2
"chr1_6026062" 19 26 24
"chr1_6027928" 3 4 3
"chr1_6039656" 1 2 5
"chr1_6046694" 1 2 1
"chr1_6209499" 4 5 7
"chr1_6210602" 7 12 11
"chr1_6211577" 3 5 7
"chr1_6212469" 6 9 8
"chr1_6217485" 11 13 14
"chr1_6220578" 5 8 9
"chr1_6230458" 30 44 45
"chr1_6232621" 4 4 5
"chr1_6235141" 8 10 9
"chr1_6240374" 3 4 4
"chr1_6253570" 26 46 39
"chr1_6257020" 13 17 14
"chr1_6309789" 8 13 13
"chr1_6316754" 1 1 1
"chr1_6322158" 2 3 2
"chr1_6334476" 8 9 10
"chr1_6336691" 2 2 2
"chr1_6338167" 1 1 1
"chr1_6344579" 3 4 3
"chr1_6352358" 2 3 3
"chr1_6359939" 3 4 5
"chr1_6365655" 33 47 56
"chr1_6368292" 26 45 50
"chr1_6369777" 25 36 35
"chr1_6374601" 1 1 2
"chr1_6379267" 6 8 11
"chr1_6390488" 1 1 1
"chr1_6397448" 2 4 5
"chr1_6402991" 27 59 63
"chr1_6405237" 1 1 3
"chr1_6410701" 16 25 29
"chr1_6413393" 1 1 2
"chr1_6417859" 1 1 1
"chr1_6423347" 33 54 63
"chr1_6424956" 22 25 24
"chr1_6457744" 22 24 25
"chr1_6461111" 15 17 15
"chr1_6463114" 23 27 28
"chr1_6472073" 13 15 18
"chr1_6473373" 11 12 13
"chr1_6475342" 20 26 32
"chr1_6476937" 13 18 17
"chr1_6479558" 1 1 1
"chr1_6481083" 2 3 2
"chr1_6490594" 27 53 57
"chr1_6494704" 4 5 4
"chr1_6497641" 56 71 71
"chr1_6499439" 1 1 1
"chr1_6505514" 1 1 1
"chr1_6527577" 8 15 12
"chr1_6560872" 9 14 13
"chr1_6565432" 5 8 6
"chr1_6566553" 6 8 8
"chr1_6590308" 8 16 13
"chr1_6593290" 27 41 33
"chr1_6613450" 3 5 6
"chr1_6637814" 2 4 5
"chr1_6641894" 1 1 5
"chr1_6645324" 18 23 23
"chr1_6655750" 16 18 18
"chr1_6667112" 24 47 39
"chr1_6672005" 49 66 67
"chr1_6675385" 2 3 2
"chr1_6747235" 9 11 10
"chr1_6750959" 3 5 8
"chr1_6752487" 6 8 7
"chr1_6764606" 19 24 24
"chr1_6766438" 1 2 3
"chr1_6771720" 17 34 24
"chr1_6781695" 9 12 11
"chr1_6801471" 36 59 58
"chr1_6806751" 1 1 1
"chr1_6815444" 20 30 29
"chr1_6818763" 1 1 4
"chr1_6822344" 1 2 1
"chr1_6847074" 16 21 22
"chr1_6849157" 26 32 33
"chr1_6851908" 6 8 7
"chr1_6864341" 49 65 69
"chr1_6866362" 2 3 2
"chr1_6871114" 11 13 17
"chr1_6873781" 6 7 7
"chr1_6877663" 2 3 2
"chr1_6879352" 9 11 12
"chr1_6881266" 5 6 5
"chr1_6882767" 20 24 23
"chr1_6895598" 20 25 22
"chr1_6946761" 2 2 2
"chr1_6948166" 1 1 1
"chr1_6966924" 13 16 19
"chr1_6968791" 6 7 7
"chr1_6970802" 17 28 25
"chr1_6986485" 2 3 5
"chr1_6990040" 3 3 3
"chr1_6991454" 4 5 6
"chr1_6995296" 24 40 33
"chr1_6997108" 44 52 59
"chr1_7001848" 9 15 17
"chr1_7004278" 7 10 12
"chr1_7006052" 6 9 9
"chr1_7007644" 8 14 15
"chr1_7008746" 17 30 27
"chr1_7019737" 2 3 2
"chr1_7020877" 5 8 7
"chr1_7022057" 19 32 34
"chr1_7027309" 10 15 16
"chr1_7028618" 54 64 58
"chr1_7061826" 22 33 37
"chr1_7065298" 6 11 9
"chr1_7071964" 17 32 32
"chr1_7141453" 3 6 6
"chr1_7218889" 3 4 5
"chr1_7220699" 16 20 18
"chr1_7222135" 5 6 6
"chr1_7255902" 1 2 1
"chr1_7263685" 23 45 40
"chr1_7283752" 40 69 71
"chr1_7285644" 1 1 3
"chr1_7292282" 10 17 16
"chr1_7294311" 49 61 57
"chr1_7296057" 1 1 1
"chr1_7309713" 11 21 29
"chr1_7333232" 1 2 3
"chr1_7337093" 44 66 67
"chr1_7347823" 2 3 4
"chr1_7351287" 6 11 10
"chr1_7363512" 21 32 30
"chr1_7365538" 34 52 53
"chr1_7367468" 8 10 11
"chr1_7374319" 16 33 33
"chr1_7384789" 8 10 9
"chr1_7395507" 7 9 10
"chr1_7407348" 3 3 4
"chr1_7408319" 3 6 7
"chr1_7409499" 2 2 3
"chr1_7412465" 2 3 2
"chr1_7415928" 5 9 7
"chr1_7444392" 2 4 4
"chr1_7457724" 1 1 3
"chr1_7464611" 13 19 22
"chr1_7468998" 1 2 2
"chr1_7479025" 17 20 22
"chr1_7481537" 1 2 3
"chr1_7483780" 1 1 1
"chr1_7490165" 2 4 3
"chr1_7492494" 2 2 2
"chr1_7498155" 5 9 8
"chr1_7500020" 1 1 2
"chr1_7501580" 5 6 5
"chr1_7503230" 46 70 71
"chr1_7505223" 3 5 8
"chr1_7511058" 13 20 25
"chr1_7512579" 1 2 1
"chr1_7517677" 8 12 8
"chr1_7520493" 4 5 7
"chr1_7523330" 2 4 7
"chr1_7526371" 10 16 13
"chr1_7529446" 1 1 2
"chr1_7533494" 2 3 3
"chr1_7538768" 47 64 62
"chr1_7543447" 3 3 4
"chr1_7545054" 31 48 45
"chr1_7547421" 43 53 57
"chr1_7549009" 4 6 5
"chr1_7550006" 3 4 3
"chr1_7552086" 1 1 1
"chr1_7553982" 6 7 7
"chr1_7562257" 32 52 52
"chr1_7573140" 3 6 11
"chr1_7574659" 8 10 12
"chr1_7575862" 2 3 3
"chr1_7577687" 7 12 13
"chr1_7579155" 15 20 18
"chr1_7580912" 3 5 12
"chr1_7593441" 22 47 60
"chr1_7595306" 8 10 9
"chr1_7598123" 4 8 8
"chr1_7609372" 8 9 12
"chr1_7611686" 3 4 3
"chr1_7613311" 2 2 3
"chr1_7614265" 1 1 2
"chr1_7615144" 53 70 68
"chr1_7615979" 11 18 13
"chr1_7616752" 21 39 40
"chr1_7618428" 4 7 8
"chr1_7619504" 1 1 3
"chr1_7622597" 12 19 18
"chr1_7627156" 57 65 65
"chr1_7627937" 14 30 39
"chr1_7634632" 28 41 39
"chr1_7635980" 5 8 9
"chr1_7636862" 31 44 39
"chr1_7638102" 6 10 11
"chr1_7639910" 3 5 4
"chr1_7673352" 25 33 34
"chr1_7722791" 2 3 2
"chr1_7740745" 10 18 14
"chr1_7748572" 35 44 48
"chr1_7753396" 1 1 1
"chr1_7756136" 47 62 62
"chr1_7765503" 1 1 1
"chr1_7768032" 7 13 13
"chr1_7797643" 2 4 9
"chr1_7800307" 14 25 25
"chr1_7833405" 34 56 53
"chr1_7851573" 1 2 4
"chr1_7891606" 36 40 39
"chr1_7896456" 1 2 3
"chr1_7902120" 1 2 1
"chr1_7985964" 1 2 1
"chr1_8009901" 2 3 4
"chr1_8013543" 7 10 9
"chr1_8015615" 2 3 2
"chr1_8018632" 27 31 33
"chr1_8024157" 11 20 15
"chr1_8026268" 18 23 26
"chr1_8027870" 1 2 3
"chr1_8029758" 2 3 2
"chr1_8031548" 2 3 2
"chr1_8033732" 9 14 16
"chr1_8037430" 23 38 39
"chr1_8043553" 7 11 7
"chr1_8045051" 2 3 4
"chr1_8046055" 3 4 6
"chr1_8059039" 4 5 11
"chr1_8060063" 2 3 2
"chr1_8061296" 10 16 15
"chr1_8064147" 16 23 21
"chr1_8065864" 3 4 5
"chr1_8066885" 4 5 6
"chr1_8069832" 16 24 26
"chr1_8071232" 1 1 2
"chr1_8072351" 5 6 5
"chr1_8073343" 11 16 16
"chr1_8079564" 4 7 9
"chr1_8080674" 1 2 1
"chr1_8085557" 8 15 17
"chr1_8095741" 3 4 4
"chr1_8096794" 10 16 17
"chr1_8098107" 25 33 35
"chr1_8122931" 1 1 1
"chr1_8127096" 54 72 69
"chr1_8128565" 25 49 47
"chr1_8135625" 9 14 13
"chr1_8143222" 1 2 1
"chr1_8145526" 35 69 72
"chr1_8147327" 2 4 2
"chr1_8151468" 1 2 3
"chr1_8155464" 14 28 24
"chr1_8159202" 3 6 7
"chr1_8162141" 2 2 2
"chr1_8164103" 1 1 1
"chr1_8165697" 25 31 33
"chr1_8167083" 27 32 34
"chr1_8169148" 25 34 34
"chr1_8172088" 4 6 6
"chr1_8176784" 4 7 6
"chr1_8196829" 21 26 27
"chr1_8198965" 12 16 16
"chr1_8210963" 6 9 6
"chr1_8258914" 6 8 6
"chr1_8286468" 28 34 33
"chr1_8289322" 2 2 4
"chr1_8295260" 2 3 4
"chr1_8298218" 3 4 5
"chr1_8300677" 49 58 56
"chr1_8305137" 3 4 4
"chr1_8307207" 6 7 7
"chr1_8351572" 6 8 9
"chr1_8365106" 14 20 23
"chr1_8373693" 3 4 6
"chr1_8378221" 8 11 11
"chr1_8380865" 9 11 10
"chr1_8405994" 15 22 20
"chr1_8414642" 3 4 4
"chr1_8418302" 2 3 2
"chr1_8421094" 1 1 1
"chr1_8478251" 3 6 8
"chr1_8515495" 1 1 1
"chr1_8517490" 5 6 7
"chr1_8519226" 1 1 2
"chr1_8522884" 8 10 9
"chr1_8545952" 2 3 3
"chr1_8549518" 6 7 8
"chr1_8567749" 11 15 18
"chr1_8571381" 2 3 3
"chr1_8607538" 4 5 5
"chr1_8613162" 2 3 7
"chr1_8616492" 3 4 3
"chr1_8621594" 1 2 2
"chr1_8626930" 1 1 1
"chr1_8630353" 5 6 5
"chr1_8633519" 1 2 3
"chr1_8662868" 6 9 10
"chr1_8701145" 2 2 3
"chr1_8708487" 16 19 18
"chr1_8727965" 60 67 66
"chr1_8731491" 10 14 17
"chr1_8741409" 38 57 70
"chr1_8743780" 12 16 15
"chr1_8748796" 3 6 9
"chr1_8750942" 12 17 17
"chr1_8798563" 4 7 8
"chr1_8803492" 1 1 1
"chr1_8902353" 6 8 9
"chr1_8906276" 1 2 2
"chr1_8910126" 14 17 20
"chr1_8936100" 15 26 23
"chr1_8939898" 2 3 3
"chr1_8967796" 4 7 8
"chr1_8972892" 7 10 10
"chr1_8974399" 10 12 12
"chr1_8977276" 1 1 5
"chr1_9031209" 36 60 63
"chr1_9038658" 4 6 6
"chr1_9045881" 14 18 16
"chr1_9050043" 6 11 8
"chr1_9054130" 4 4 5
"chr1_9057186" 50 60 59
"chr1_9109059" 4 5 4
"chr1_9118932" 1 2 1
"chr1_9169793" 11 17 15
"chr1_9183404" 3 4 6
"chr1_9185651" 31 41 38
"chr1_9187968" 3 4 5
"chr1_9190786" 9 17 14
"chr1_9208595" 13 22 21
"chr1_9210409" 8 10 12
"chr1_9225389" 1 2 1
"chr1_9226882" 14 22 18
