"wild.west.sample.freq" "wild.east.sample.freq" "wild.center.sample.freq"
"chr1_127283610" 0 0 0
"chr1_127371770" 0.333333333333333 0 0
"chr1_127391744" 0 0 0
"chr1_12759741" 0 0.4 0.125
"chr1_127627699" 0.5 0 0
"chr1_127713946" 0 0 0
"chr1_127858889" 0 0 0.0909090909090909
"chr1_128122303" 0 0 0
"chr1_128138735" 0 0 0.222222222222222
"chr1_128367384" 0 0 0
"chr1_128507392" 0 0 0
"chr1_128778070" 0 0 0
"chr1_128788675" 0 0 0
"chr1_128841271" 0.4 0 0
"chr1_128991121" 0.5 0 0
"chr1_129009687" 0 0 0
"chr1_129239499" 0 0 0
"chr1_12938178" 0 0.4 0.125
"chr1_129699188" 0 0 0.222222222222222
"chr1_12976704" 0 0 0.375
"chr1_129839238" 0.5 0 0
"chr1_12985331" 0 0 0
"chr1_130060260" 0 0 0
"chr1_13009675" 0 0.5 0.1
"chr1_130164551" 0 0 0
"chr1_130671872" 0 0 0
"chr1_13072204" 0.25 0 0
"chr1_130860659" 0 0 0
"chr1_131259479" 0.428571428571429 0 0.181818181818182
"chr1_131297812" 0 0 0
"chr1_131440716" 0 0 0.3
"chr1_131500767" 0 0 0
"chr1_131843056" 0 0 0
"chr1_131926816" 0 0 0.333333333333333
"chr1_131951114" 0 0.166666666666667 0
"chr1_131954074" 0 0 0
"chr1_131965970" 0 0 0.1
"chr1_132052478" 0 0 0
"chr1_132079758" 0 0 0
"chr1_13211723" 0 0 0
"chr1_132128878" 0 0 0
"chr1_132156057" 0.142857142857143 0 0.363636363636364
"chr1_132380006" 0.166666666666667 0 0.1
"chr1_132439468" 0.428571428571429 0.5 0.4
"chr1_132463000" 0 0 0
"chr1_132535464" 0 0 0
"chr1_132607304" 0 0 0.0833333333333333
"chr1_132876867" 0 0 0
"chr1_133177946" 0 0 0.166666666666667
"chr1_133261961" 0 0 0
"chr1_133358745" 0 0 0
"chr1_133416456" 0 0 0
"chr1_133460999" 0 0 0
"chr1_133488125" 0 0.166666666666667 0
"chr1_133858895" 0 0 0.25
"chr1_133977300" 0.2 0 0.272727272727273
"chr1_134224219" 0 0 0
"chr1_13453331" 0 0.4 0.25
"chr1_134796067" 0 0 0
"chr1_135450709" 0.142857142857143 0 0
"chr1_135540114" 0 0 0.222222222222222
"chr1_135559424" 0.142857142857143 0 0
"chr1_135915224" 0 0 0.142857142857143
"chr1_13640935" 0 0 0
"chr1_136444977" 0 0 0.1
"chr1_136815058" 0 0 0
"chr1_137121472" 0 0 0
"chr1_137956499" 0.166666666666667 0 0
"chr1_137972517" 0 0.2 0
"chr1_138107633" 0 0 0
"chr1_138341759" 0 0 0
"chr1_138367195" 0 0.4 0.444444444444444
"chr1_13844788" 0 0.333333333333333 0
"chr1_138653843" 0.4 0 0
"chr1_138751495" 0 0.25 0.3
"chr1_138760502" 0 0 0
"chr1_138856474" 0 0 0
"chr1_138943265" 0 0.333333333333333 0.285714285714286
"chr1_139055552" 0 0 0
"chr1_139175411" 0 0 0.25
"chr1_139261931" 0 0 0
"chr1_139264272" 0.2 0 0.222222222222222
"chr1_139278204" 0.142857142857143 0.333333333333333 0.5
"chr1_139359728" 0 0.333333333333333 0.25
"chr1_139672004" 0 0 0
"chr1_139707967" 0 0 0
"chr1_139896860" 0.25 0.2 0.2
"chr1_140035771" 0.166666666666667 0.166666666666667 0.333333333333333
"chr1_140066360" 0 0.25 0.1
"chr1_140113083" 0 0 0
"chr1_140422518" 0 0 0
"chr1_140964893" 0.333333333333333 0.333333333333333 0
"chr1_141031756" 0 0 0
"chr1_141067773" 0.25 0 0
"chr1_141142580" 0 0 0
"chr1_141329956" 0 0 0
"chr1_141461023" 0 0.333333333333333 0.272727272727273
"chr1_141556585" 0.2 0 0.2
"chr1_141587253" 0 0 0
"chr1_141784195" 0 0.166666666666667 0.333333333333333
"chr1_142263973" 0.2 0.2 0.222222222222222
"chr1_142386419" 0 0 0
"chr1_142794486" 0 0 0
"chr1_143215608" 0 0 0.142857142857143
"chr1_143617006" 0 0.333333333333333 0
"chr1_143721400" 0 0 0
"chr1_144328149" 0 0 0
"chr1_14444497" 0 0.166666666666667 0.5
"chr1_144929090" 0.5 0.333333333333333 0
"chr1_145345793" 0 0 0.333333333333333
"chr1_145387309" 0 0 0.111111111111111
"chr1_145390430" 0 0 0
"chr1_145931034" 0.142857142857143 0 0
"chr1_14603668" 0 0.333333333333333 0.4
"chr1_146271124" 0 0 0.1
"chr1_146702613" 0 0 0
"chr1_146736201" 0 0.5 0
"chr1_146761220" 0 0 0.1
"chr1_147088187" 0 0 0
"chr1_147594533" 0 0 0
"chr1_147621041" 0.5 0 0
"chr1_147628537" 0 0 0.142857142857143
"chr1_147630385" 0.4 0.5 0.285714285714286
"chr1_147671886" 0 0 0.222222222222222
"chr1_147842903" 0.166666666666667 0 0
"chr1_147857515" 0.2 0 0.333333333333333
"chr1_147891948" 0 0 0
"chr1_147955550" 0 0 0
"chr1_148192199" 0.428571428571429 0.166666666666667 0.4
"chr1_148407950" 0 0 0.1
"chr1_148511094" 0.333333333333333 0 0
"chr1_148530069" 0 0 0
"chr1_148725865" 0 0.25 0
"chr1_148955652" 0.25 0.166666666666667 0.375
"chr1_149029606" 0 0 0.5
"chr1_149290149" 0 0 0
"chr1_149325889" 0.333333333333333 0.25 0.0909090909090909
"chr1_149358084" 0.5 0 0.333333333333333
"chr1_149404523" 0 0 0.125
"chr1_149771016" 0.2 0 0
"chr1_149780780" 0 0.4 0
"chr1_149821719" 0 0 0.181818181818182
"chr1_150037531" 0 0 0
"chr1_150726021" 0 0 0
"chr1_151158417" 0 0.2 0.181818181818182
"chr1_151197526" 0 0 0.5
"chr1_151396722" 0 0 0
"chr1_151438202" 0.142857142857143 0 0.272727272727273
"chr1_151518369" 0 0 0
"chr1_151567679" 0 0 0.5
"chr1_151584727" 0 0 0.333333333333333
"chr1_151613140" 0.428571428571429 0 0
"chr1_151686119" 0.333333333333333 0 0
"chr1_151708835" 0 0.25 0.222222222222222
"chr1_151724261" 0 0 0
"chr1_151728218" 0 0.25 0.25
"chr1_151744560" 0.142857142857143 0 0
"chr1_151837372" 0 0.2 0
"chr1_152027237" 0.166666666666667 0 0
"chr1_152116208" 0.2 0 0.333333333333333
"chr1_152164526" 0.166666666666667 0.333333333333333 0.125
"chr1_152181820" 0 0 0.166666666666667
"chr1_152187780" 0.2 0.5 0.5
"chr1_152260987" 0.2 0 0
"chr1_152272816" 0 0 0
"chr1_152288794" 0 0.25 0.0909090909090909
"chr1_152299027" 0.25 0.333333333333333 0
"chr1_152348119" 0 0.166666666666667 0.4
"chr1_152402428" 0.333333333333333 0.4 0.3
"chr1_152527693" 0 0.166666666666667 0.0909090909090909
"chr1_152734708" 0 0 0.1
"chr1_152822141" 0 0 0
"chr1_152896298" 0 0 0
"chr1_153025601" 0 0 0.2
"chr1_153030523" 0.4 0.25 0.125
"chr1_153073626" 0 0.5 0
"chr1_153103497" 0 0.2 0.3
"chr1_153230445" 0.5 0 0
"chr1_15340046" 0 0 0
"chr1_153401302" 0.4 0 0.142857142857143
"chr1_15342721" 0 0 0
"chr1_153668207" 0 0 0
"chr1_153814887" 0 0 0.25
"chr1_154165688" 0 0 0
"chr1_154186896" 0 0 0
"chr1_154277401" 0 0 0
"chr1_154374765" 0 0 0
"chr1_154524100" 0 0 0.125
"chr1_154879975" 0 0 0.111111111111111
"chr1_154890816" 0 0 0
"chr1_154965424" 0 0 0.0909090909090909
"chr1_155021412" 0 0 0
"chr1_155202752" 0 0 0
"chr1_155206444" 0.166666666666667 0 0.1
"chr1_155336930" 0 0 0.2
"chr1_155457013" 0 0 0
"chr1_155565830" 0.166666666666667 0 0.222222222222222
"chr1_155619713" 0 0 0
"chr1_155637345" 0 0 0
"chr1_155869668" 0 0 0
"chr1_155933737" 0 0 0
"chr1_156006718" 0 0 0
"chr1_156028315" 0.5 0.333333333333333 0.181818181818182
"chr1_156046438" 0 0 0
"chr1_156380086" 0 0 0
"chr1_156614482" 0 0.25 0.2
"chr1_156650457" 0 0 0.0833333333333333
"chr1_156820432" 0 0 0
"chr1_156874281" 0 0 0
"chr1_156920595" 0 0 0
"chr1_15695824" 0 0 0
"chr1_157112220" 0 0 0
"chr1_157201901" 0.25 0 0.428571428571429
"chr1_157293742" 0.5 0 0.285714285714286
"chr1_157323431" 0 0 0
"chr1_157687451" 0 0 0
"chr1_15827453" 0 0 0
"chr1_158458266" 0 0 0
"chr1_158975710" 0.5 0 0
"chr1_159071082" 0 0 0
"chr1_159219340" 0 0 0.1
"chr1_159268411" 0 0 0
"chr1_159652399" 0 0 0
"chr1_159869410" 0 0 0
"chr1_159948092" 0.142857142857143 0 0.375
"chr1_160168304" 0 0 0
"chr1_160176448" 0 0 0
"chr1_160315559" 0.285714285714286 0 0.25
"chr1_160689751" 0.285714285714286 0 0
"chr1_160795623" 0 0.25 0.363636363636364
"chr1_16094451" 0.142857142857143 0 0.4
"chr1_161298469" 0 0 0
"chr1_161437686" 0 0 0
"chr1_162595517" 0 0 0
"chr1_16268592" 0 0 0.1
"chr1_162867779" 0 0 0.1
"chr1_163087445" 0 0 0.0833333333333333
"chr1_163127069" 0 0 0
"chr1_163443475" 0 0 0
"chr1_163576670" 0 0 0.142857142857143
"chr1_163745182" 0 0.25 0.444444444444444
"chr1_163979803" 0 0 0
"chr1_16406140" 0 0.2 0.5
"chr1_164457946" 0 0.25 0
"chr1_164471192" 0 0 0
"chr1_164697692" 0 0 0
"chr1_164882265" 0.25 0.2 0.25
"chr1_16490534" 0 0 0
"chr1_164995178" 0.166666666666667 0.25 0.5
"chr1_165002171" 0 0 0
"chr1_165026008" 0 0 0
"chr1_165089648" 0 0.5 0
"chr1_165114487" 0 0 0.111111111111111
"chr1_1656285" 0.5 0.5 0.3
"chr1_165734662" 0 0 0.0909090909090909
"chr1_165804692" 0 0 0
"chr1_16591856" 0 0 0.454545454545455
"chr1_166144586" 0 0 0
"chr1_166166101" 0.5 0 0.0909090909090909
"chr1_166854075" 0 0.333333333333333 0
"chr1_16724502" 0 0 0.0833333333333333
"chr1_167294895" 0.4 0 0
"chr1_167351336" 0.25 0.4 0
"chr1_167475724" 0 0.25 0
"chr1_167690105" 0 0 0
"chr1_167780354" 0.428571428571429 0.2 0
"chr1_167786952" 0 0 0
"chr1_167944773" 0.25 0 0.333333333333333
"chr1_168007375" 0 0 0
"chr1_169021991" 0.285714285714286 0 0
"chr1_169195518" 0 0 0.0909090909090909
"chr1_169285596" 0 0 0
"chr1_169704093" 0 0 0.125
"chr1_169744556" 0.2 0 0
"chr1_169756179" 0 0 0
"chr1_169764162" 0 0 0
"chr1_169833717" 0 0 0
"chr1_170062290" 0 0 0
"chr1_170325449" 0 0 0
"chr1_170329305" 0 0 0
"chr1_170413592" 0 0 0
"chr1_170646555" 0 0 0
"chr1_170688185" 0.5 0 0
"chr1_170903335" 0 0 0
"chr1_17098094" 0.5 0 0.4
"chr1_170993678" 0 0.166666666666667 0
"chr1_171014837" 0 0 0
"chr1_171238981" 0 0.333333333333333 0
"chr1_171515960" 0 0 0
"chr1_171699536" 0 0.25 0.142857142857143
"chr1_1720134" 0.5 0 0
"chr1_172110233" 0 0 0
"chr1_172117403" 0 0 0.2
"chr1_172664040" 0 0.5 0.285714285714286
"chr1_172852667" 0 0 0.272727272727273
"chr1_173269181" 0 0 0
"chr1_173396692" 0 0 0.0909090909090909
"chr1_173526640" 0 0 0
"chr1_173629519" 0 0.4 0
"chr1_173783405" 0 0 0.181818181818182
"chr1_173789070" 0 0 0
"chr1_173866031" 0 0 0
"chr1_174156814" 0 0 0.166666666666667
"chr1_174284027" 0 0.2 0.5
"chr1_174373785" 0 0 0
"chr1_17442783" 0 0.5 0.111111111111111
"chr1_174656582" 0.2 0 0.125
"chr1_174956640" 0 0 0.0909090909090909
"chr1_175078142" 0.428571428571429 0 0
"chr1_175541158" 0 0 0
"chr1_175667276" 0 0 0.142857142857143
"chr1_175675600" 0.285714285714286 0.5 0.111111111111111
"chr1_175862339" 0 0 0
"chr1_175864" 0 0 0
"chr1_176087432" 0 0 0
"chr1_176134659" 0 0 0.0909090909090909
"chr1_176288963" 0 0.333333333333333 0
"chr1_176399443" 0 0 0.111111111111111
"chr1_17640409" 0 0 0
"chr1_176417924" 0 0 0
"chr1_176446291" 0 0.166666666666667 0.0833333333333333
"chr1_17650403" 0 0.333333333333333 0.285714285714286
"chr1_176528405" 0 0 0
"chr1_176570487" 0 0 0
"chr1_176792796" 0.2 0 0
"chr1_176865921" 0.25 0 0.222222222222222
"chr1_176964761" 0.166666666666667 0.2 0
"chr1_176982642" 0 0.166666666666667 0.4
"chr1_177488908" 0 0 0
"chr1_177658930" 0.142857142857143 0.2 0
"chr1_177661925" 0 0.2 0.181818181818182
"chr1_177798595" 0.333333333333333 0 0.2
"chr1_177837007" 0.4 0.166666666666667 0.0909090909090909
"chr1_17785031" 0 0 0
"chr1_177936611" 0 0 0
"chr1_178101503" 0.333333333333333 0.2 0
"chr1_178109065" 0 0 0
"chr1_17825766" 0 0 0.125
"chr1_178311107" 0 0 0.2
"chr1_178396594" 0.5 0 0
"chr1_1785872" 0 0 0
"chr1_178826475" 0 0 0
"chr1_178927798" 0 0 0.454545454545455
"chr1_179038801" 0.166666666666667 0.333333333333333 0.1
"chr1_179208524" 0 0 0
"chr1_179242387" 0.2 0.333333333333333 0.142857142857143
"chr1_179718987" 0 0 0
"chr1_179788750" 0 0 0
"chr1_179967351" 0 0 0.125
"chr1_180019931" 0 0.4 0.444444444444444
"chr1_180064836" 0.333333333333333 0.2 0.0909090909090909
"chr1_180166177" 0 0 0
"chr1_180756989" 0 0 0.0833333333333333
"chr1_18080849" 0 0 0
"chr1_180839958" 0 0 0
"chr1_180893483" 0 0.2 0.2
"chr1_180957571" 0.2 0 0
"chr1_181025201" 0 0 0
"chr1_181373712" 0.166666666666667 0 0
"chr1_181468762" 0.2 0 0.2
"chr1_181504833" 0 0 0.333333333333333
"chr1_181838198" 0 0 0
"chr1_182549297" 0.166666666666667 0.25 0.1
"chr1_182622830" 0 0 0.285714285714286
"chr1_183219071" 0 0.2 0
"chr1_183738075" 0 0 0
"chr1_183804832" 0 0 0
"chr1_183809954" 0 0 0
"chr1_183834901" 0 0.2 0
"chr1_184542797" 0 0 0.0833333333333333
"chr1_184637457" 0.333333333333333 0.5 0.222222222222222
"chr1_184978254" 0 0 0
"chr1_185499201" 0 0 0
"chr1_185508894" 0 0 0
"chr1_185624649" 0 0 0
"chr1_1856402" 0 0 0
"chr1_185653681" 0.25 0.333333333333333 0.4
"chr1_185834777" 0.5 0.166666666666667 0.333333333333333
"chr1_185906958" 0 0.25 0
"chr1_185935317" 0 0 0
"chr1_185985710" 0.166666666666667 0.166666666666667 0.4
"chr1_186025678" 0 0 0
"chr1_187074253" 0 0.333333333333333 0
"chr1_187330792" 0 0.2 0
"chr1_187342165" 0 0 0
"chr1_187437402" 0 0 0
"chr1_187523964" 0 0 0
"chr1_187606970" 0 0 0
"chr1_187729957" 0.2 0 0
"chr1_188374408" 0.166666666666667 0 0.125
"chr1_18863065" 0 0.333333333333333 0.25
"chr1_188925543" 0.25 0 0
"chr1_188998279" 0.333333333333333 0 0
"chr1_189036250" 0 0 0
"chr1_189213541" 0.285714285714286 0 0
"chr1_189271707" 0.2 0.4 0
"chr1_189307924" 0.2 0 0
"chr1_189863438" 0 0 0
"chr1_189949652" 0.142857142857143 0.5 0
"chr1_190099144" 0 0 0
"chr1_190136681" 0 0 0
"chr1_190389092" 0 0 0
"chr1_190663698" 0 0.4 0.166666666666667
"chr1_190760280" 0 0 0
"chr1_190970911" 0.5 0 0
"chr1_191067392" 0 0 0
"chr1_191143956" 0 0 0
"chr1_191151328" 0 0 0.142857142857143
"chr1_191153632" 0 0 0
"chr1_191291137" 0 0 0
"chr1_191534177" 0 0 0
"chr1_191624874" 0 0.25 0
"chr1_191710966" 0 0 0
"chr1_191881799" 0 0 0
"chr1_192017132" 0.2 0.4 0
"chr1_192159102" 0 0 0
"chr1_192320013" 0 0 0
"chr1_192325494" 0 0 0
"chr1_19279632" 0 0.25 0.111111111111111
"chr1_193297833" 0 0 0
"chr1_193461248" 0 0 0.166666666666667
"chr1_193618324" 0 0 0
"chr1_193699490" 0 0 0
"chr1_193976662" 0 0 0
"chr1_194068912" 0 0 0.0909090909090909
"chr1_194092825" 0.2 0.333333333333333 0.0909090909090909
"chr1_194455805" 0.2 0 0.1
"chr1_194478966" 0 0 0.1
"chr1_194623465" 0.333333333333333 0 0.1
"chr1_19479211" 0 0 0
"chr1_195377551" 0 0 0
"chr1_195724822" 0 0.166666666666667 0
"chr1_195831955" 0 0 0
"chr1_195994083" 0 0 0
"chr1_196117191" 0 0 0
"chr1_196144453" 0.2 0 0.2
"chr1_196187725" 0 0 0
"chr1_196433817" 0.2 0 0
"chr1_196707691" 0.333333333333333 0.25 0.428571428571429
"chr1_196995073" 0 0 0
"chr1_197101489" 0 0 0
"chr1_197115945" 0 0.166666666666667 0.2
"chr1_197156451" 0 0 0.3
"chr1_197210724" 0 0.2 0.181818181818182
"chr1_197305538" 0 0 0
"chr1_197336087" 0 0 0
"chr1_197474029" 0 0.4 0.416666666666667
"chr1_197725531" 0.2 0 0
"chr1_1977544" 0 0 0.375
"chr1_197980115" 0 0 0
"chr1_198063314" 0 0 0
"chr1_198322943" 0 0 0.375
"chr1_198665285" 0 0 0.333333333333333
"chr1_198672953" 0.166666666666667 0.333333333333333 0
"chr1_198833625" 0 0 0
"chr1_198862021" 0 0 0
"chr1_19894691" 0.333333333333333 0.5 0.222222222222222
"chr1_199373717" 0 0 0
"chr1_199406176" 0 0 0
"chr1_199429190" 0 0 0
"chr1_199534829" 0 0 0
"chr1_199710572" 0.25 0 0
"chr1_19989117" 0 0.4 0
"chr1_200051170" 0.142857142857143 0 0.363636363636364
"chr1_2001455" 0 0.333333333333333 0
"chr1_2005201" 0.25 0 0
"chr1_200641502" 0 0 0
"chr1_200666408" 0 0 0.2
"chr1_200829747" 0 0 0.272727272727273
"chr1_201265839" 0.333333333333333 0 0.4
"chr1_201515042" 0 0 0
"chr1_201585882" 0.428571428571429 0 0
"chr1_201685211" 0.333333333333333 0 0
"chr1_201994643" 0 0 0
"chr1_202181520" 0 0 0.111111111111111
"chr1_202461030" 0 0 0.4
"chr1_203308909" 0.166666666666667 0 0
"chr1_203323059" 0.25 0.333333333333333 0.2
"chr1_203336585" 0 0 0
"chr1_203477654" 0 0.2 0.375
"chr1_203808490" 0.333333333333333 0 0.375
"chr1_203897716" 0.25 0.333333333333333 0.111111111111111
"chr1_204095751" 0 0 0
"chr1_204469910" 0.428571428571429 0 0.2
"chr1_204658688" 0 0 0.0833333333333333
"chr1_204932844" 0.2 0 0
"chr1_204981218" 0.2 0 0
"chr1_205027800" 0 0.2 0
"chr1_205092340" 0 0.4 0
"chr1_205177877" 0 0 0
"chr1_205372971" 0 0.2 0.0909090909090909
"chr1_205916462" 0 0 0
"chr1_206030966" 0 0 0
"chr1_206086416" 0 0 0
"chr1_206109880" 0 0 0
"chr1_206223545" 0 0 0.444444444444444
"chr1_206387129" 0 0.5 0.0833333333333333
"chr1_206516194" 0 0 0
"chr1_206552022" 0 0 0.375
"chr1_206954605" 0 0 0.0909090909090909
"chr1_20711697" 0.4 0.4 0
"chr1_20748138" 0.2 0.4 0.428571428571429
"chr1_207481699" 0 0 0
"chr1_20751830" 0 0 0
"chr1_207533758" 0 0 0
"chr1_207547522" 0 0.166666666666667 0.5
"chr1_207585349" 0 0 0.3
"chr1_208032998" 0 0 0.375
"chr1_208369502" 0 0 0
"chr1_208458708" 0 0 0
"chr1_208474262" 0 0 0
"chr1_208567668" 0.285714285714286 0.5 0.416666666666667
"chr1_208717002" 0 0 0
"chr1_208800995" 0 0 0
"chr1_208859715" 0 0 0
"chr1_208896148" 0 0 0
"chr1_209095733" 0 0 0
"chr1_209152943" 0 0 0
"chr1_209335436" 0 0 0
"chr1_209340634" 0 0 0
"chr1_209349040" 0 0.5 0
"chr1_209409118" 0 0 0.4
"chr1_209748063" 0 0 0.4
"chr1_209844717" 0 0 0
"chr1_209853649" 0 0.5 0.4
"chr1_210366346" 0.428571428571429 0.25 0.428571428571429
"chr1_210555578" 0.166666666666667 0 0
"chr1_210570939" 0 0 0.181818181818182
